site_year,site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac,manual_edit
brow_1999,brow,1999,0,0,1,NA
brow_2003,brow,2003,1061.497258787077,263.5781147977127,0.7516921380476376,NA
brow_2004,brow,2004,2113.453579739613,2071.3963551842444,0.019899762624807762,NA
brow_2005,brow,2005,1193.5012242798384,NA,NA,NA
brow_2006,brow,2006,9.085192513544825,0,1,NA
brow_2007,brow,2007,25.403161051905045,0,1,NA
deka_2000,deka,2000,1146.5367427491492,78.53899676028232,0.9314989273069761,NA
deka_2001,deka,2001,2565.1840361419836,1619.2585517552016,0.36875540743246105,NA
deka_2002,deka,2002,1727.9925083378703,996.3295516753769,0.4234178985916257,NA
deka_2003,deka,2003,2824.955244857745,1764.2463086149583,0.37547813834346266,NA
deka_2004,deka,2004,NA,NA,NA,NA
deka_2006,deka,2006,1087.315156651468,80.65161692398942,0.9258249860395887,NA
deka_2007,deka,2007,203.80122357756773,56.043400953363744,0.7250094971484146,NA
deka_2008,deka,2008,2161.4850916960586,691.5095756775117,0.6800766388192375,NA
dslo_1999,dslo,1999,288.3092407346521,271.85170783011745,0.057082918544679964,NA
dslo_2001,dslo,2001,1708.290581747462,1553.2530060400404,0.09075597405028658,NA
dslo_2002,dslo,2002,42.315247360055764,0,1,NA
dslo_2003,dslo,2003,1303.9445420061584,1282.29219880442,0.01660526387757689,NA
dslo_2004,dslo,2004,3849.8850834665654,845.6575232790783,0.7803421388054471,NA
dslo_2005,dslo,2005,65.71978786517866,30.844248648496432,0.5306702950445901,NA
dslo_2006,dslo,2006,641.0656400199714,63.706872979541004,0.9006234790909144,NA
dslo_2007,dslo,2007,1269.5062116729478,1152.2945849309563,0.09232851770573908,NA
dslo_2008,dslo,2008,1102.9809525870241,967.4800212226346,0.122849747356538,NA
dsup_2001,dsup,2001,486.2452042854511,120.03431912145788,0.7531403537483703,NA
dsup_2003,dsup,2003,641.9939768397126,603.630070585561,0.05975742396058317,NA
dsup_2004,dsup,2004,428.36136524944686,374.2509319073497,0.12631959306271037,NA
dsup_2005,dsup,2005,1505.2392694044283,729.8752204452067,0.5151101653533173,NA
dsup_2007,dsup,2007,1387.1824816195563,1293.372382013108,0.06762635835547999,NA
dsup_2008,dsup,2008,1230.5963814595343,1025.1907219713994,0.16691553996324607,NA
monm_1999,monm,1999,687.3095534477889,622.4594009851189,0.09435363168947462,NA
monm_2000,monm,2000,1895.1241949370851,533.2003842394242,0.7186462050012898,NA
monm_2001,monm,2001,2348.380168572947,1726.9515228667678,0.264620121572482,NA
monm_2002,monm,2002,3043.204437530221,3039.5022305114708,0.0012165489025623992,NA
monm_2003,monm,2003,5330.9929115593995,4787.829114481463,0.10188792333603996,NA
monm_2004,monm,2004,3296.3181181091622,440.437573291656,0.8663849915237246,NA
monm_2006,monm,2006,2137.89115574274,527.6342964911928,0.7531987093571733,NA
monm_2007,monm,2007,315.4009394873501,46.85374346327444,0.8514470389992176,NA
monm_2008,monm,2008,2662.643536213989,65.92015451790394,0.975242591198807,NA
orrc_2000,orrc,2000,0,0,1,NA
orrc_2001,orrc,2001,478.9896264620029,281.651940645982,0.4119873895258047,NA
orrc_2002,orrc,2002,360.89938756726315,0,1,NA
orrc_2003,orrc,2003,NA,NA,NA,NA
orrc_2004,orrc,2004,153.0451132738508,0,1,NA
orrc_2005,orrc,2005,692.5482068478714,509.19200602044475,0.2647558668326804,NA
orrc_2006,orrc,2006,0,0,1,NA
orrc_2007,orrc,2007,0,0,1,NA
orrc_2008,orrc,2008,0,0,1,NA
urba_1999,urba,1999,NA,NA,NA,NA
urba_2000,urba,2000,3621.5635408975922,3303.945061909424,0.08770203129155853,NA
urba_2001,urba,2001,162.234308802359,93.8942623799503,0.4212428735136633,NA
urba_2002,urba,2002,603.8835076496271,494.94982806806,0.1803885653468952,NA
urba_2003,urba,2003,756.2001832620481,175.30066002279273,0.7681822037299807,NA
urba_2004,urba,2004,737.2718578735803,447.5074075220655,0.3930225292841716,NA
urba_2006,urba,2006,0,0,1,NA
urba_2007,urba,2007,117.78319521648882,56.81449677155615,0.5176349506639762,NA
urba_2008,urba,2008,787.4436296139174,327.8693897239664,0.5836281133105105,NA
ames_2001,ames,2001,3460.3680520865073,2527.5729422375844,0.26956528779835226,NA
ames_2002,ames,2002,1631.076971505261,1618.1686197695453,0.00791400526230416,NA
ames_2003,ames,2003,3424.780860992164,2083.998052818124,0.39149448171863854,NA
ames_2004,ames,2004,1972.863333995072,540.614756105002,0.7259745534373886,NA
ames_2005,ames,2005,2441.8487788748225,2313.638233548797,0.052505522223658584,NA
ames_2006,ames,2006,1631.911667187349,1610.339620369492,0.01321888142085354,NA
ames_2007,ames,2007,500.5329327702402,500.5329327702402,0,NA
ames_2008,ames,2008,1168.651518129067,NA,NA,NA
ames_2009,ames,2009,760.289644265431,532.8267134660491,0.2991793095105875,NA
ames_2010,ames,2010,1132.777746491869,600.6188349538679,0.4697822791682295,NA
ames_2011,ames,2011,1048.0422891908165,1016.0417012272392,0.03053368007533808,NA
ames_2012,ames,2012,1129.4017130696175,1070.7431175277543,0.05193776037618548,NA
ames_2013,ames,2013,503.11141823147045,325.3911713274547,0.3532423245903169,NA
ames_2014,ames,2014,665.9104309778213,301.5679715767874,0.5471343328652087,NA
ames_2015,ames,2015,2356.4136794756887,1232.161464380537,0.47710307612256875,NA
ames_2016,ames,2016,389.1617259828581,301.7629100672093,0.22458224969301985,NA
craw_1999,craw,1999,NA,NA,NA,NA
craw_2000,craw,2000,2960.8037889863836,314.0387037917553,0.8939346453959839,NA
craw_2001,craw,2001,1509.5985932886078,1110.774952772662,0.2641918469512631,NA
craw_2002,craw,2002,3893.9420464689565,3830.297709508176,0.016344448941784703,NA
craw_2003,craw,2003,4501.728342885677,4046.1262510950546,0.10120603845645973,NA
craw_2005,craw,2005,NA,NA,NA,NA
craw_2006,craw,2006,1372.254780592848,NA,NA,NA
craw_2009,craw,2009,2713.384089045632,1620.8128539599602,0.4026599991857245,NA
craw_2010,craw,2010,1045.7080607043308,669.885218282554,0.35939556798351874,NA
craw_2012,craw,2012,1452.9696667979042,1449.100134046089,0.00266318894347127,NA
craw_2013,craw,2013,2862.818949572147,2819.527908573935,0.01512182284691187,NA
craw_2014,craw,2014,1528.4935080493506,1504.882078077815,0.015447517341220613,NA
craw_2015,craw,2015,2500.7293115304965,2066.8582319909783,0.17349781823206623,NA
craw_2016,craw,2016,529.4988785305304,235.94883344424125,0.5543921941835867,NA
kana_2005,kana,2005,NA,NA,NA,NA
kana_2006,kana,2006,1954.1411609479837,1898.5290571203404,0.028458590883303953,NA
kana_2007,kana,2007,3392.7162302583183,3385.65391037658,0.0020816123136831533,NA
kana_2008,kana,2008,3002.7208512264788,2711.1424170246837,0.09710474221494754,NA
kana_2009,kana,2009,1828.1694935113246,1812.599643508036,0.00851663374678894,NA
kana_2010,kana,2010,1247.1512507617372,NA,NA,NA
kana_2011,kana,2011,1081.661921922153,1015.2066033283181,0.0614381603410253,NA
kana_2012,kana,2012,1876.264325019366,NA,NA,NA
kana_2015,kana,2015,821.380401198483,458.92748199142807,0.4412729092125851,NA
kana_2016,kana,2016,880.000679792116,753.8506570059308,0.14335218788238419,NA
lewi_2001,lewi,2001,NA,NA,NA,NA
lewi_2002,lewi,2002,852.4274827530949,844.4445909105007,0.009364892620322097,NA
lewi_2003,lewi,2003,2120.370944817898,2016.6106353700507,0.048934979844650915,NA
lewi_2004,lewi,2004,1557.9170097579536,215.94541119420865,0.8613883731664506,NA
lewi_2005,lewi,2005,849.7719525192042,542.9484219337646,0.3610657302536772,NA
lewi_2006,lewi,2006,419.1533891385261,274.9684681966992,0.3439908269337057,NA
lewi_2007,lewi,2007,491.825825956259,491.0409465857683,0.0015958482232294876,NA
lewi_2008,lewi,2008,1102.812443365703,962.8720236302142,0.12689412472387498,NA
lewi_2009,lewi,2009,1170.8875496248056,1097.4917463596466,0.0626839044352958,NA
lewi_2011,lewi,2011,2415.5654380084416,1029.0479807350357,0.573992919196818,NA
lewi_2012,lewi,2012,3728.271761075287,3280.021524937379,0.12023003280442897,NA
lewi_2013,lewi,2013,0,NA,NA,NA
lewi_2014,lewi,2014,1035.9761060205146,857.627883926978,0.17215476405013236,NA
lewi_2016,lewi,2016,NA,NA,NA,NA
mcna_1999,mcna,1999,NA,NA,NA,NA
mcna_2000,mcna,2000,154.34011085016664,130.44426112304245,0.15482592046549892,NA
mcna_2001,mcna,2001,1184.19077481772,1128.3085396572014,0.047190230112306365,NA
mcna_2002,mcna,2002,3197.1262749203106,1252.9744488532633,0.6080935374113448,NA
mcna_2003,mcna,2003,2664.1629930355707,1678.8331665521337,0.36984592499002605,NA
mcna_2005,mcna,2005,NA,NA,NA,NA
mcna_2006,mcna,2006,425.6860300465896,0,1,NA
mcna_2007,mcna,2007,1849.5039646432288,NA,NA,NA
mcna_2012,mcna,2012,NA,NA,NA,NA
mcna_2013,mcna,2013,NA,NA,NA,NA
mcna_2016,mcna,2016,240.39142629073103,209.21056137537926,0.12970872296269595,NA
nash_2005,nash,2005,NA,NA,NA,NA
nash_2006,nash,2006,1075.5041780593565,934.3922450279988,0.13120537875174093,NA
nash_2009,nash,2009,2092.0288034463556,2090.65295017286,6.576645939238391e-4,NA
nash_2011,nash,2011,1091.295744024992,618.750914361668,0.433012620319082,NA
nash_2012,nash,2012,1533.1787147158957,1352.3571834761406,0.11793897834882354,NA
nash_2013,nash,2013,NA,NA,NA,NA
nash_2014,nash,2014,NA,NA,NA,NA
nash_2015,nash,2015,440.4335774496485,439.9663692328395,0.001060791548896894,NA
suth_2001,suth,2001,1293.7145847774827,1251.1426471123095,0.03290674633037049,NA
suth_2002,suth,2002,1957.2229288011395,1359.4000543693728,0.30544444663641457,NA
suth_2003,suth,2003,2559.5802802873886,1958.1194712283032,0.2349841548988468,NA
suth_2005,suth,2005,543.4097211854623,521.7413164422505,0.0398748934706976,NA
suth_2006,suth,2006,1232.786005916133,1055.3263977177503,0.14395005081721815,NA
suth_2007,suth,2007,713.861144589926,644.9459076770945,0.09653871405540566,NA
suth_2008,suth,2008,2603.899195581287,2483.1456836479956,0.04637411161622747,NA
suth_2009,suth,2009,2219.3508221299635,1970.5249050137882,0.11211653184122157,NA
suth_2010,suth,2010,1819.3403532541106,42.200709382837886,0.9768043899497107,NA
suth_2011,suth,2011,986.4529154524789,700.7624838259107,0.2896138550064744,NA
suth_2012,suth,2012,2811.653198370561,2809.6909187063593,6.979095662789284e-4,NA
suth_2013,suth,2013,NA,NA,NA,NA
suth_2014,suth,2014,1682.8693562145709,709.2533392410496,0.5785452170592512,NA
suth_2015,suth,2015,741.2964897268685,640.8424097837778,0.13551133903264945,NA
suth_2016,suth,2016,775.3036950375445,62.240916147799,0.919720599106928,NA
craw_2007,craw,2007,NA,NA,1,NA-replace
craw_2011,craw,2011,NA,NA,0,NA-replace
deka_2005,deka,2005,NA,NA,1,NA-replace
dsup_2002,dsup,2002,NA,NA,1,NA-replace
dsup_2006,dsup,2006,NA,NA,1,NA-replace
kana_2014,kana,2014,NA,NA,0,NA-replace
lewi_2010,lewi,2010,NA,NA,1,NA-replace
mcna_2014,mcna,2014,NA,NA,1,NA-replace
monm_2005,monm,2005,3355.4788838176537,NA,0,NA-replace
nash_2007,nash,2007,NA,NA,0,NA-replace
nash_2008,nash,2008,NA,NA,0,NA-replace
nash_2010,nash,2010,NA,NA,1,NA-replace
nash_2016,nash,2016,NA,NA,1,NA-replace
craw_2004,craw,2004,NA,NA,1,add
orcc_2003,orcc,2003,NA,NA,1,add
urba_2005,urba,2005,NA,NA,0,add
